TIMESTAMP,Calendrier,HTA,sup36,inf36
748,HCH,22.6,36.4,39.4
749,HCH,22.6,36.4,39.4
750,HCH,22.6,36.4,39.4
751,P,44.2,52.8,39.4
752,P,44.2,52.8,39.4
753,HPH,35.2,52.8,39.4
754,HPH,35.2,52.8,39.4
755,HPH,35.2,52.8,39.4
756,HPH,35.2,52.8,39.4
757,HPH,35.2,52.8,39.4
758,HPH,35.2,52.8,39.4
759,HPH,35.2,52.8,39.4
760,HPH,35.2,52.8,39.4
761,HPH,35.2,52.8,39.4
762,HPH,35.2,52.8,39.4
763,P,44.2,52.8,39.4
764,P,44.2,52.8,39.4
765,HPH,35.2,52.8,39.4
766,HPH,35.2,52.8,39.4
767,HCH,22.6,36.4,39.4
768,HCH,22.6,36.4,39.4
769,HCH,22.6,36.4,39.4
770,HCH,22.6,36.4,39.4
771,HCH,22.6,36.4,39.4
772,HCH,22.6,36.4,39.4
773,HCH,22.6,36.4,39.4
774,HCH,22.6,36.4,39.4
775,P,44.2,52.8,39.4
776,P,44.2,52.8,39.4
777,HPH,35.2,52.8,39.4
778,HPH,35.2,52.8,39.4
779,HPH,35.2,52.8,39.4
780,HPH,35.2,52.8,39.4
781,HPH,35.2,52.8,39.4
782,HPH,35.2,52.8,39.4
783,HPH,35.2,52.8,39.4
784,HPH,35.2,52.8,39.4
