YEAR,TIMESTAMP,RESOURCES,areaConsumption
2030,822,electricity,0
2030,823,electricity,0
2030,824,electricity,0
2030,825,electricity,0
2030,826,electricity,0
2030,827,electricity,0
2030,828,electricity,0
2030,829,electricity,0
2030,830,electricity,0
2030,831,electricity,0
2030,832,electricity,0
2030,833,electricity,0
2030,834,electricity,0
2030,835,electricity,0
2030,836,electricity,0
2030,837,electricity,0
2030,838,electricity,0
2030,839,electricity,0
2030,840,electricity,0
2030,841,electricity,0
2030,842,electricity,0
2030,843,electricity,0
2030,844,electricity,0
2030,845,electricity,0
2030,846,electricity,0
2030,847,electricity,0
2030,848,electricity,0
2030,849,electricity,0
2030,850,electricity,0
2030,851,electricity,0
2030,852,electricity,0
2030,853,electricity,0
2030,854,electricity,0
2030,855,electricity,0
2030,856,electricity,0
2030,857,electricity,0
2030,858,electricity,0
2030,859,electricity,0
2030,860,electricity,0
2030,861,electricity,0
2030,862,electricity,0
2030,863,electricity,0
2030,864,electricity,0
2030,865,electricity,0
2030,866,electricity,0
2030,867,electricity,0
2030,868,electricity,0
2030,869,electricity,0
2030,870,electricity,0
2030,871,electricity,0
2030,872,electricity,0
2030,873,electricity,0
2030,874,electricity,0
2030,875,electricity,0
2030,876,electricity,0
2030,877,electricity,0
2030,878,electricity,0
2030,879,electricity,0
2030,880,electricity,0
2030,881,electricity,0
2030,882,electricity,0
2030,883,electricity,0
2030,884,electricity,0
2030,885,electricity,0
2030,886,electricity,0
2030,887,electricity,0
2030,888,electricity,0
2030,889,electricity,0
2030,890,electricity,0
2030,891,electricity,0
2030,892,electricity,0
2030,893,electricity,0
2030,894,electricity,0
2030,895,electricity,0
2030,896,electricity,0
2030,897,electricity,0
2030,898,electricity,0
2030,899,electricity,0
2030,900,electricity,0
2030,901,electricity,0
2030,902,electricity,0
2030,903,electricity,0
2030,904,electricity,0
2030,905,electricity,0
2030,906,electricity,0
2030,907,electricity,0
2030,908,electricity,0
2030,909,electricity,0
2030,910,electricity,0
2030,911,electricity,0
2030,912,electricity,0
2030,913,electricity,0
2030,914,electricity,0
2030,915,electricity,0
2030,916,electricity,0
2030,917,electricity,0
2030,918,electricity,0
2030,919,electricity,0
