TIMESTAMP,RESSOURCES,importCost
949,electricity,47.18
950,electricity,42.79
951,electricity,43.94
952,electricity,46.18
953,electricity,49.59
954,electricity,53.19
955,electricity,55.97
956,electricity,52.03
957,electricity,43.22
958,electricity,41.69
959,electricity,40.44
960,electricity,42.3
961,electricity,42.54
962,electricity,39.92
963,electricity,36.48
964,electricity,35.6
965,electricity,36.62
966,electricity,38.28
967,electricity,43.65
968,electricity,45.9
969,electricity,49.9
970,electricity,49.29
971,electricity,48
972,electricity,45.92
973,electricity,42.47
974,electricity,40.28
975,electricity,40.03
976,electricity,40.2
977,electricity,42.98
978,electricity,45.44
979,electricity,43.4
980,electricity,38.86
981,electricity,38.5
982,electricity,39.98
983,electricity,42.02
984,electricity,36.12
985,electricity,30.68
986,electricity,20.93
987,electricity,10.7
988,electricity,12.97
989,electricity,21.05
990,electricity,20.84
991,electricity,29.08
992,electricity,32.46
993,electricity,36.91
994,electricity,38.01
995,electricity,37.65
996,electricity,40
997,electricity,34.61
998,electricity,34.74
999,electricity,34.2
1000,electricity,31.78
1001,electricity,34.74
1002,electricity,43.97
1003,electricity,48.49
1004,electricity,46.21
1005,electricity,41.95
1006,electricity,47.5
1007,electricity,43.8
1008,electricity,42.35
1009,electricity,40.58
1010,electricity,40.32
1011,electricity,37.3
1012,electricity,38.29
1013,electricity,41.7
1014,electricity,47.57
1015,electricity,52.7
1016,electricity,55.59
1017,electricity,58.86
1018,electricity,54.79
1019,electricity,52.97
1020,electricity,54.04
1021,electricity,50.95
1022,electricity,48.88
1023,electricity,47.84
1024,electricity,45.98
1025,electricity,49.84
1026,electricity,61.44
1027,electricity,64
1028,electricity,54.49
1029,electricity,47.3
1030,electricity,42.6
1031,electricity,42.82
1032,electricity,38.43
1033,electricity,34.35
1034,electricity,34.2
1035,electricity,33.36
1036,electricity,32.04
1037,electricity,33.58
1038,electricity,40.06
1039,electricity,50.19
1040,electricity,49.02
1041,electricity,47.95
1042,electricity,44.96
1043,electricity,44.23
1044,electricity,39.39
1045,electricity,38.06
1046,electricity,39.43
1047,electricity,42.94
1048,electricity,45.36
1049,electricity,49.85
1050,electricity,54.38
1051,electricity,58.92
1052,electricity,51.97
1053,electricity,40.78
1054,electricity,43.58
1055,electricity,43.26
1056,electricity,41.47
1057,electricity,39.25
1058,electricity,38.85
1059,electricity,35.75
1060,electricity,35.91
1061,electricity,37.17
1062,electricity,42.82
1063,electricity,49.47
1064,electricity,58.8
1065,electricity,56.07
1066,electricity,52.45
1067,electricity,50.81
1068,electricity,48.41
1069,electricity,46.23
1070,electricity,42.43
1071,electricity,40.99
1072,electricity,42.21
1073,electricity,45.75
1074,electricity,52.08
1075,electricity,51.24
1076,electricity,42.88
1077,electricity,37.36
1078,electricity,40.49
1079,electricity,42.8
1080,electricity,35.58
1081,electricity,34.53
1082,electricity,32.47
1083,electricity,25.61
1084,electricity,21.13
1085,electricity,31.72
1086,electricity,37.7
1087,electricity,49.08
1088,electricity,49.84
1089,electricity,49.82
1090,electricity,51.08
1091,electricity,50.09
1092,electricity,49.48
1093,electricity,49.04
1094,electricity,46.91
1095,electricity,43.24
1096,electricity,42.66
1097,electricity,47
1098,electricity,52
1099,electricity,55.52
1100,electricity,46.4
1101,electricity,40
1102,electricity,40.39
1103,electricity,40.98
1104,electricity,39.7
1105,electricity,35.68
1106,electricity,34.35
1107,electricity,32.29
1108,electricity,32.5
1109,electricity,34.82
1110,electricity,40.94
1111,electricity,50.25
1112,electricity,53.62
1113,electricity,52
1114,electricity,50.1
1115,electricity,51.78
1116,electricity,48.02
1117,electricity,40.63
1118,electricity,39.14
1119,electricity,40.02
1120,electricity,42.86
1121,electricity,46.5
1122,electricity,51.68
1123,electricity,49.68
1124,electricity,45.92
1125,electricity,41.87
1126,electricity,41.68
1127,electricity,39.5
1128,electricity,39.9
1129,electricity,35.72
1130,electricity,35.62
1131,electricity,34.2
1132,electricity,33.62
1133,electricity,33.86
1134,electricity,35.44
1135,electricity,38.01
1136,electricity,42.61
1137,electricity,46.82
1138,electricity,46.52
1139,electricity,47.4
1140,electricity,44.98
1141,electricity,41.43
1142,electricity,36.85
1143,electricity,36.53
1144,electricity,38.52
1145,electricity,44.99
1146,electricity,49.77
1147,electricity,49.08
1148,electricity,45.95
1149,electricity,41.1
1150,electricity,43.26
1151,electricity,46.1
1152,electricity,42.09
1153,electricity,40.79
1154,electricity,40.29
1155,electricity,36.08
1156,electricity,34.95
1157,electricity,35.54
1158,electricity,35.38
1159,electricity,37.03
1160,electricity,37.4
1161,electricity,37.92
1162,electricity,38.49
1163,electricity,37.2
1164,electricity,38.74
1165,electricity,36.16
1166,electricity,34.38
1167,electricity,34.94
1168,electricity,36.24
1169,electricity,42.36
1170,electricity,49.01
1171,electricity,50.49
1172,electricity,48.24
1173,electricity,41.27
1174,electricity,43.91
1175,electricity,42.81
1176,electricity,39.74
1177,electricity,37.21
1178,electricity,37.13
1179,electricity,37.37
1180,electricity,35.07
1181,electricity,37.65
1182,electricity,48.49
1183,electricity,57.95
1184,electricity,61.28
1185,electricity,61.63
1186,electricity,59.67
1187,electricity,58.11
1188,electricity,54.24
1189,electricity,53.01
1190,electricity,54.55
1191,electricity,53.97
1192,electricity,50.97
1193,electricity,59.92
1194,electricity,67.84
1195,electricity,62.04
1196,electricity,59.9
1197,electricity,49.07
1198,electricity,45.95
1199,electricity,40.9
1200,electricity,42.87
1201,electricity,40
1202,electricity,38.1
1203,electricity,36.26
1204,electricity,36.95
1205,electricity,40.69
1206,electricity,47.19
1207,electricity,60.05
1208,electricity,61.92
1209,electricity,61.85
1210,electricity,59.89
1211,electricity,56.1
1212,electricity,53.38
1213,electricity,51.67
1214,electricity,50.7
1215,electricity,49.87
1216,electricity,50.25
1217,electricity,53.51
1218,electricity,60.48
1219,electricity,59.62
1220,electricity,51.72
1221,electricity,42.89
1222,electricity,42.93
1223,electricity,44.22
1224,electricity,42.4
1225,electricity,39.15
1226,electricity,38.65
1227,electricity,37.86
1228,electricity,37.33
1229,electricity,39.06
1230,electricity,45.65
1231,electricity,59.13
1232,electricity,60.69
1233,electricity,60.49
1234,electricity,55.51
1235,electricity,49.71
1236,electricity,47.65
1237,electricity,46.06
1238,electricity,44.4
1239,electricity,44.97
1240,electricity,47.41
1241,electricity,55.43
1242,electricity,58.93
1243,electricity,60.36
1244,electricity,55
1245,electricity,45.24
1246,electricity,53.52
1247,electricity,47.92
1248,electricity,45.46
1249,electricity,39.94
1250,electricity,42.87
1251,electricity,40.9
1252,electricity,40.16
1253,electricity,42.02
1254,electricity,49.93
1255,electricity,59.19
1256,electricity,60.97
1257,electricity,60.07
1258,electricity,58.69
1259,electricity,58.69
1260,electricity,56.3
1261,electricity,52.67
1262,electricity,46.94
1263,electricity,44.68
1264,electricity,49.8
1265,electricity,56.34
1266,electricity,59.98
1267,electricity,61.61
1268,electricity,61.54
1269,electricity,53.71
1270,electricity,52.29
1271,electricity,52.46
1272,electricity,49.8
1273,electricity,47.11
1274,electricity,45.9
1275,electricity,43.15
1276,electricity,43.12
1277,electricity,42.9
1278,electricity,52.25
1279,electricity,61.62
1280,electricity,63.03
1281,electricity,61.88
1282,electricity,58.56
1283,electricity,55.47
1284,electricity,52.36
1285,electricity,46.73
1286,electricity,43.84
1287,electricity,45.46
1288,electricity,44.76
1289,electricity,54.32
1290,electricity,61.87
1291,electricity,63.79
1292,electricity,57.62
1293,electricity,50.03
1294,electricity,54.4
1295,electricity,50.83
1296,electricity,55.34
1297,electricity,54.65
1298,electricity,49.04
1299,electricity,45.25
1300,electricity,46.4
1301,electricity,48.17
1302,electricity,49.68
1303,electricity,50.15
1304,electricity,54.87
1305,electricity,59.83
1306,electricity,60.85
1307,electricity,61.48
1308,electricity,61.34
1309,electricity,61.05
1310,electricity,53.41
1311,electricity,51.68
1312,electricity,40.62
1313,electricity,47.48
1314,electricity,54.2
1315,electricity,61.96
1316,electricity,59.19
1317,electricity,51.13
1318,electricity,53.1
1319,electricity,52.01
1320,electricity,51.43
1321,electricity,50.88
1322,electricity,48.1
1323,electricity,38.95
1324,electricity,34.76
1325,electricity,36
1326,electricity,36.42
1327,electricity,37
1328,electricity,39.7
1329,electricity,44.88
1330,electricity,44.03
1331,electricity,44.27
1332,electricity,42.73
1333,electricity,39.1
1334,electricity,32.45
1335,electricity,31.07
1336,electricity,34.72
1337,electricity,42.99
1338,electricity,56.8
1339,electricity,62.83
1340,electricity,62.5
1341,electricity,53.13
1342,electricity,55.5
1343,electricity,52.39
1344,electricity,50.64
1345,electricity,47
1346,electricity,46.27
1347,electricity,44.07
1348,electricity,44.61
1349,electricity,46.44
1350,electricity,53.97
1351,electricity,69.54
1352,electricity,73.39
1353,electricity,65.62
1354,electricity,64.28
1355,electricity,63.3
1356,electricity,61.87
1357,electricity,61.97
1358,electricity,59.77
1359,electricity,57.4
1360,electricity,56.1
1361,electricity,62.1
1362,electricity,81
1363,electricity,90.33
1364,electricity,73.83
1365,electricity,64.63
